"","Outcome, Arm","N","Risk difference","95% confidence interval lower bound","95% confidence interval upper bound"
"1","Ln IL-1Î²/IL-10"," "," "," "," "
"2","Control"," ","-0.12","0.12","-0.35"
"3","Nutrition + WSH"," ","0.08","0.12","-0.16"
"4","Ln IL-6/IL-10"," "," "," "," "
"5","Control"," ","0","0.1","-0.2"
"6","Nutrition + WSH"," ","0.11","0.11","-0.12"
"7","Ln TNF-Î±/IL-10"," "," "," "," "
"8","Control"," ","-0.2","0.08","-0.36"
"9","Nutrition + WSH"," ","-0.03","0.07","-0.17"
"10","Ln IL-12/IL-10"," "," "," "," "
"11","Control"," ","-0.25","0.07","-0.39"
"12","Nutrition + WSH"," ","-0.14","0.08","-0.3"
"13","Ln IFN-Î³/IL-10"," "," "," "," "
"14","Control"," ","-0.17","0.06","-0.29"
"15","Nutrition + WSH"," ","-0.04","0.08","-0.19"
"16","Ln IL-4/IL-10"," "," "," "," "
"17","Control"," ","-0.04","0.09","-0.21"
"18","Nutrition + WSH"," ","0.04","0.09","-0.13"
"19","Ln IL-5/IL-10"," "," "," "," "
"20","Control"," ","0.02","0.09","-0.16"
"21","Nutrition + WSH"," ","0.13","0.07","-0.01"
"22","Ln IL-13/IL-10"," "," "," "," "
"23","Control"," ","-0.03","0.14","-0.3"
"24","Nutrition + WSH"," ","0.08","0.12","-0.16"
"25","Ln IL-17A/IL-10"," "," "," "," "
"26","Control"," ","-0.19","0.09","-0.38"
"27","Nutrition + WSH"," ","-0.13","0.07","-0.27"
"28","Ln IL-21/IL-10"," "," "," "," "
"29","Control"," ","-0.01","0.13","-0.27"
"30","Nutrition + WSH"," ","-0.01","0.13","-0.26"
"31","Ln IL-2/IL-10"," "," "," "," "
"32","Control"," ","0.01","0.16","-0.3"
"33","Nutrition + WSH"," ","-0.01","0.17","-0.33"
"34","Ln GM-CSF/IL-10"," "," "," "," "
"35","Control"," ","-0.16","0.11","-0.38"
"36","Nutrition + WSH"," ","-0.16","0.1","-0.36"
"37","Ln IL-12/IL-4"," "," "," "," "
"38","Control"," ","-0.21","0.08","-0.37"
"39","Nutrition + WSH"," ","-0.16","0.07","-0.3"
"40","Ln IFN-Î³/IL-4"," "," "," "," "
"41","Control"," ","-0.13","0.07","-0.26"
"42","Nutrition + WSH"," ","-0.08","0.06","-0.19"
"43","Ln IL-12/IL-5"," "," "," "," "
"44","Control"," ","-0.28","0.09","-0.45"
"45","Nutrition + WSH"," ","-0.25","0.09","-0.43"
"46","Ln IFN-Î³/IL-5"," "," "," "," "
"47","Control"," ","-0.19","0.08","-0.36"
"48","Nutrition + WSH"," ","-0.18","0.08","-0.33"
"49","Ln IL-12/IL-13"," "," "," "," "
"50","Control"," ","-0.26","0.12","-0.5"
"51","Nutrition + WSH"," ","-0.19","0.11","-0.41"
"52","Ln IFN-Î³/IL-13"," "," "," "," "
"53","Control"," ","-0.16","0.12","-0.4"
"54","Nutrition + WSH"," ","-0.12","0.1","-0.31"
"55","Ln IL-12/IL-17A"," "," "," "," "
"56","Control"," ","-0.05","0.06","-0.16"
"57","Nutrition + WSH"," ","0.01","0.07","-0.13"
"58","Ln IFN-Î³/IL-17A"," "," "," "," "
"59","Control"," ","0.04","0.06","-0.08"
"60","Nutrition + WSH"," ","0.08","0.09","-0.09"
"61","Ln IL-12/IL-21"," "," "," "," "
"62","Control"," ","-0.26","0.14","-0.53"
"63","Nutrition + WSH"," ","-0.11","0.13","-0.37"
"64","Ln IFN-Î³/IL-21"," "," "," "," "
"65","Control"," ","-0.16","0.13","-0.41"
"66","Nutrition + WSH"," ","-0.03","0.11","-0.25"
"67","Ln Pro-inflammatory cytokines/IL-10"," "," "," "," "
"68","Control"," ","-0.2","0.08","-0.36"
"69","Nutrition + WSH"," ","-0.03","0.07","-0.17"
"70","Ln Th1/IL-10"," "," "," "," "
"71","Control"," ","-0.17","0.06","-0.29"
"72","Nutrition + WSH"," ","-0.04","0.08","-0.19"
"73","Ln Th2/IL-10"," "," "," "," "
"74","Control"," ","-0.03","0.14","-0.3"
"75","Nutrition + WSH"," ","0.08","0.12","-0.16"
"76","Ln Th17/IL-10"," "," "," "," "
"77","Control"," ","-0.01","0.13","-0.27"
"78","Nutrition + WSH"," ","-0.01","0.13","-0.26"
"79","Ln Th1/Th2"," "," "," "," "
"80","Control"," ","-0.16","0.12","-0.4"
"81","Nutrition + WSH"," ","-0.12","0.1","-0.31"
"82","Ln Th1/Th17"," "," "," "," "
"83","Control"," ","-0.16","0.13","-0.41"
"84","Nutrition + WSH"," ","-0.03","0.11","-0.25"
